1	249250621	400773	0
2	243199373	428645	0
3	198022430	355761	0
4	191154276	338682	0
5	180915260	319850	0
6	171115067	307110	0
7	159138663	271595	0
8	146364022	260742	0
9	141213431	198740	0
10	135534747	236179	0
11	135006516	235348	0
12	133851895	236148	0
13	115169878	174688	0
14	107349540	158317	0
15	102531392	141934	0
16	90354753	138757	0
17	81195210	135417	0
18	78077248	138110	0
19	59128983	93938	0
20	63025520	111538	0
21	48129895	65047	0
22	51304566	59403	0
X	155270560	127226	0
Y	59373566	12244	0
MT	16569	4963	0
*	0	0	0
