1	249250621	483228	0
2	243199373	515890	0
3	198022430	425836	0
4	191154276	403985	0
5	180915260	382866	0
6	171115067	371534	0
7	159138663	330220	0
8	146364022	310083	0
9	141213431	241080	0
10	135534747	286033	0
11	135006516	282564	0
12	133851895	286992	0
13	115169878	209869	0
14	107349540	192330	0
15	102531392	172897	0
16	90354753	172084	0
17	81195210	171197	0
18	78077248	164329	0
19	59128983	126810	0
20	63025520	135475	0
21	48129895	81016	0
22	51304566	74007	0
X	155270560	153211	0
Y	59373566	15287	0
MT	16569	1410	0
*	0	0	0
