1	249250621	362439	0
2	243199373	374873	0
3	198022430	301119	0
4	191154276	280190	0
5	180915260	272084	0
6	171115067	262946	0
7	159138663	240771	0
8	146364022	224611	0
9	141213431	179994	0
10	135534747	213133	0
11	135006516	211987	0
12	133851895	208541	0
13	115169878	148150	0
14	107349540	141388	0
15	102531392	128938	0
16	90354753	138581	0
17	81195210	138312	0
18	78077248	118694	0
19	59128983	108901	0
20	63025520	107120	0
21	48129895	61766	0
22	51304566	65137	0
X	155270560	106460	0
Y	59373566	10702	0
MT	16569	10591	0
*	0	0	0
