1	249250621	1348165	0
2	243199373	1428754	0
3	198022430	1177896	0
4	191154276	1113081	0
5	180915260	1057310	0
6	171115067	1016735	0
7	159138663	909550	0
8	146364022	862954	0
9	141213431	670560	0
10	135534747	789628	0
11	135006516	791593	0
12	133851895	795276	0
13	115169878	579777	0
14	107349540	534029	0
15	102531392	480838	0
16	90354753	478126	0
17	81195210	476447	0
18	78077248	454606	0
19	59128983	351331	0
20	63025520	379028	0
21	48129895	327712	0
22	51304566	213108	0
X	155270560	432805	0
Y	59373566	40089	0
MT	16569	0	0
*	0	0	0
