1	249250621	134399	0
2	243199373	143350	0
3	198022430	117760	0
4	191154276	111190	0
5	180915260	105367	0
6	171115067	101583	0
7	159138663	91173	0
8	146364022	86022	0
9	141213431	67519	0
10	135534747	78673	0
11	135006516	79432	0
12	133851895	79421	0
13	115169878	57932	0
14	107349540	53431	0
15	102531392	48310	0
16	90354753	47421	0
17	81195210	47917	0
18	78077248	45453	0
19	59128983	35331	0
20	63025520	37717	0
21	48129895	32205	0
22	51304566	21225	0
X	155270560	43285	0
Y	59373566	4020	0
MT	16569	0	0
*	0	0	0
