1	249250621	995927	0
2	243199373	1047938	0
3	198022430	860405	0
4	191154276	806434	0
5	180915260	772089	0
6	171115067	745289	0
7	159138663	667667	0
8	146364022	631132	0
9	141213431	493620	0
10	135534747	585185	0
11	135006516	583682	0
12	133851895	582715	0
13	115169878	420525	0
14	107349540	391548	0
15	102531392	354802	0
16	90354753	356969	0
17	81195210	355498	0
18	78077248	334631	0
19	59128983	260688	0
20	63025520	282922	0
21	48129895	162183	0
22	51304566	158803	0
X	155270560	306186	0
Y	59373566	29618	0
MT	16569	4721	0
*	0	0	0
