1	249250621	333390	0
2	243199373	352418	0
3	198022430	289250	0
4	191154276	270399	0
5	180915260	259657	0
6	171115067	250846	0
7	159138663	222938	0
8	146364022	212604	0
9	141213431	165550	0
10	135534747	197949	0
11	135006516	195909	0
12	133851895	194498	0
13	115169878	140139	0
14	107349540	130673	0
15	102531392	117722	0
16	90354753	119340	0
17	81195210	116266	0
18	78077248	112548	0
19	59128983	83353	0
20	63025520	95247	0
21	48129895	53608	0
22	51304566	52107	0
X	155270560	103251	0
Y	59373566	9854	0
MT	16569	8818	0
*	0	0	0
