1	249250621	269419	0
2	243199373	286008	0
3	198022430	235639	0
4	191154276	223274	0
5	180915260	212150	0
6	171115067	203082	0
7	159138663	182416	0
8	146364022	172345	0
9	141213431	133248	0
10	135534747	158731	0
11	135006516	158695	0
12	133851895	158935	0
13	115169878	115910	0
14	107349540	107017	0
15	102531392	96228	0
16	90354753	95078	0
17	81195210	95336	0
18	78077248	91414	0
19	59128983	69892	0
20	63025520	75900	0
21	48129895	65999	0
22	51304566	42826	0
X	155270560	86867	0
Y	59373566	8089	0
MT	16569	0	0
*	0	0	0
