1	249250621	156259	0
2	243199373	161818	0
3	198022430	130981	0
4	191154276	122452	0
5	180915260	117782	0
6	171115067	114981	0
7	159138663	105636	0
8	146364022	97058	0
9	141213431	76868	0
10	135534747	91806	0
11	135006516	91175	0
12	133851895	91382	0
13	115169878	63507	0
14	107349540	60968	0
15	102531392	56017	0
16	90354753	58632	0
17	81195210	59050	0
18	78077248	51454	0
19	59128983	46500	0
20	63025520	45366	0
21	48129895	26085	0
22	51304566	26552	0
X	155270560	47731	0
Y	59373566	4866	0
MT	16569	4736	0
*	0	0	0
