1	249250621	537913	0
2	243199373	572376	0
3	198022430	471218	0
4	191154276	446531	0
5	180915260	423466	0
6	171115067	405823	0
7	159138663	364868	0
8	146364022	345195	0
9	141213431	269013	0
10	135534747	317125	0
11	135006516	315534	0
12	133851895	317987	0
13	115169878	231694	0
14	107349540	214520	0
15	102531392	192976	0
16	90354753	190414	0
17	81195210	190565	0
18	78077248	181931	0
19	59128983	141005	0
20	63025520	152125	0
21	48129895	131583	0
22	51304566	85090	0
X	155270560	173957	0
Y	59373566	16030	0
MT	16569	0	0
*	0	0	0
