1	249250621	134337	0
2	243199373	142883	0
3	198022430	117838	0
4	191154276	111582	0
5	180915260	105069	0
6	171115067	101756	0
7	159138663	91081	0
8	146364022	86563	0
9	141213431	67212	0
10	135534747	79158	0
11	135006516	79098	0
12	133851895	79429	0
13	115169878	58033	0
14	107349540	53504	0
15	102531392	48141	0
16	90354753	47450	0
17	81195210	47956	0
18	78077248	45300	0
19	59128983	34692	0
20	63025520	38066	0
21	48129895	32679	0
22	51304566	21456	0
X	155270560	42966	0
Y	59373566	3909	0
MT	16569	0	0
*	0	0	0
