1	249250621	502624	0
2	243199373	534880	0
3	198022430	436845	0
4	191154276	413685	0
5	180915260	394869	0
6	171115067	382177	0
7	159138663	343221	0
8	146364022	320177	0
9	141213431	252524	0
10	135534747	296472	0
11	135006516	296374	0
12	133851895	296459	0
13	115169878	215745	0
14	107349540	199782	0
15	102531392	180208	0
16	90354753	186178	0
17	81195210	182289	0
18	78077248	171485	0
19	59128983	138147	0
20	63025520	143856	0
21	48129895	86047	0
22	51304566	81157	0
X	155270560	314929	0
Y	59373566	1841	0
MT	16569	3009	0
*	0	0	0
