1	249250621	770773	0
2	243199373	835667	0
3	198022430	696993	0
4	191154276	673047	0
5	180915260	624904	0
6	171115067	601807	0
7	159138663	529121	0
8	146364022	505767	0
9	141213431	383301	0
10	135534747	452494	0
11	135006516	453057	0
12	133851895	457693	0
13	115169878	346300	0
14	107349540	308222	0
15	102531392	272396	0
16	90354753	258152	0
17	81195210	252589	0
18	78077248	268151	0
19	59128983	174942	0
20	63025520	207082	0
21	48129895	126699	0
22	51304566	108279	0
X	155270560	503441	0
Y	59373566	2213	0
MT	16569	9378	0
*	0	0	0
